seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Annie,Higgins,41,Zantoh Heights,Rutjidu,AZ,52780,$5358.74,WHITE,02/23/2017
2,Nathan,Ford,21,Vifvib Plaza,Huniwog,WA,71388,$6762.84,YELLOW,06/15/1937
3,Amanda,Rice,18,Utsek View,Sagpuefe,PA,38884,$4532.32,WHITE,04/25/2023
4,Clyde,Drake,20,Ivacut Junction,Pamnide,DC,54731,$3590.21,RED,01/25/2030
5,Emilie,Cole,55,Haowe Plaza,Zeemak,UT,06870,$9168.64,YELLOW,02/01/2019
6,Olga,Logan,55,Icnu Junction,Alhopun,MS,20847,$2135.77,YELLOW,12/13/2062
7,Francis,Wade,44,Gitep Parkway,Vipkuimu,MT,22589,$4918.65,RED,07/03/2019
8,Elsie,Ramos,38,Ikte Extension,Fusigano,RI,92418,$2788.56,GREEN,08/22/2003
9,Philip,Davidson,55,Upipu Pike,Efmomop,MN,74507,$6459.24,WHITE,06/28/1991
10,Bryan,Simpson,43,Ikoma Key,Viuvdow,TN,86779,$8004.44,WHITE,10/24/1919
11,Roger,Barber,36,Tudad Avenue,Acuugeves,CA,94784,$9622.79,BLUE,12/25/1920
12,Tommy,Potter,55,Jaztev Glen,Gotzogun,IA,83472,$2995.66,YELLOW,04/29/1994
13,Scott,Campbell,50,Buspo Glen,Jebogu,IA,73200,$6488.74,WHITE,10/28/2020
14,Sara,Alvarado,49,Avinol Drive,Bubzaav,ND,12082,$5729.15,WHITE,04/02/2016
15,Carrie,Gardner,20,Lobkoc Avenue,Samroama,VT,48186,$3866.71,GREEN,10/19/2057
16,Ethan,Mendez,61,Otli Way,Guipme,ID,88578,$2739.73,YELLOW,05/18/1929
17,Trevor,Adkins,35,Fizub Junction,Onlamub,IL,75116,$7024.12,YELLOW,09/01/2045
18,Edna,Jacobs,55,Uvoiwa Manor,Urtorpos,TX,67199,$8208.87,RED,05/01/2010
19,Howard,Bass,22,Tojoh Street,Zedizve,UT,62561,$2219.51,GREEN,05/12/1931
20,Vincent,Guerrero,55,Kofbo Lane,Decarba,VA,30228,$1846.95,BLUE,09/20/1970
